train_project,test_project,metric_set,label,baseline_f1,f1_wo_cfs,f1_with_cfs,cfs_metrics
ant-ivy,archiva,jit,adhoc,0.3785416666666667,0.3751743375174338,0.20944112859468259,oexp own minor nddev nsctr add
ant-ivy,archiva,static,adhoc,0.2991934784493973,0.399735857362976,0.36656824892119017,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,archiva,pmd,adhoc,0.24638519375361476,0.26640471512770136,0.19697759249609173,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,archiva,combined,adhoc,0.3383976390862389,0.3865102639296188,0.21872103799814643,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,archiva,jit,bug,0.1476510067114094,0.2517482517482517,0.22373721722962503,add oexp own nsctr nddev minor
ant-ivy,archiva,static,bug,0.09926470588235295,0.14617940199335547,0.1708601521357519,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,archiva,pmd,bug,0.0925373134328358,0.16377649325626203,0.19006309148264983,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,archiva,combined,bug,0.12264150943396225,0.142692750287687,0.18065783014236622,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,calcite,jit,adhoc,0.5785019287235881,0.6289247181476543,0.5794320798158096,oexp own minor nddev nsctr add
ant-ivy,calcite,static,adhoc,0.37441449742762806,0.5434208872690712,0.5444132772323516,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,calcite,pmd,adhoc,0.28828979217093736,0.4639880952380953,0.3111734783371338,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,calcite,combined,adhoc,0.5036501523850025,0.5797922568460813,0.5828680052275157,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,calcite,jit,bug,0.07719928186714542,0.16041275797373358,0.13650030066145522,add oexp own nsctr nddev minor
ant-ivy,calcite,static,bug,0.049512378094523635,0.08789237668161436,0.16066691928760896,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,calcite,pmd,bug,0.07459412022817025,0.09640924741760945,0.15808733837521347,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,calcite,combined,bug,0.04034134988363072,0.08163265306122448,0.15581565471836137,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,cayenne,jit,adhoc,0.28247363097818234,0.3766463534499705,0.3306764765992234,oexp own minor nddev nsctr add
ant-ivy,cayenne,static,adhoc,0.18886126305320736,0.4085320693230633,0.36584051724137934,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,cayenne,pmd,adhoc,0.17035978079580655,0.24684502776375566,0.14688192465970246,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,cayenne,combined,adhoc,0.24666762218718646,0.3914523449319214,0.36357615894039735,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,cayenne,jit,bug,0.07684529828109202,0.1161022805805114,0.14913544668587894,add oexp own nsctr nddev minor
ant-ivy,cayenne,static,bug,0.10223642172523961,0.13531799729364005,0.1728956776080598,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,cayenne,pmd,bug,0.0756918972990997,0.10612244897959183,0.17014480408858604,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,cayenne,combined,bug,0.05144694533762058,0.13728323699421965,0.1904191616766467,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-bcel,jit,adhoc,0.25773195876288657,0.5859872611464968,0.46153846153846156,oexp own minor nddev nsctr add
ant-ivy,commons-bcel,static,adhoc,0.3246918827029324,0.5451127819548872,0.47239263803680986,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-bcel,pmd,adhoc,0.2012830793905373,0.37173913043478257,0.3630057803468208,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-bcel,combined,adhoc,0.4404709986916703,0.5692599620493358,0.437137330754352,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-bcel,jit,bug,0.01834862385321101,0.0655737704918033,0.11034482758620688,add oexp own nsctr nddev minor
ant-ivy,commons-bcel,static,bug,0.047337278106508875,0.038834951456310676,0.10038610038610038,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-bcel,pmd,bug,0.027820710973724884,0.05147058823529412,0.04863221884498481,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-bcel,combined,bug,0.0,0.02105263157894737,0.05423728813559322,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-beanutils,jit,adhoc,0.45664739884393063,0.5371702637889688,0.2570532915360501,oexp own minor nddev nsctr add
ant-ivy,commons-beanutils,static,adhoc,0.2517730496453901,0.5135135135135135,0.42204724409448824,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-beanutils,pmd,adhoc,0.21881254169446296,0.36290322580645157,0.317948717948718,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-beanutils,combined,adhoc,0.46339017051153464,0.6092184368737475,0.32276657060518726,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-beanutils,jit,bug,0.042105263157894736,0.10582010582010583,0.08764940239043825,add oexp own nsctr nddev minor
ant-ivy,commons-beanutils,static,bug,0.0,0.06349206349206349,0.06417112299465241,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-beanutils,pmd,bug,0.01360544217687075,0.06779661016949153,0.06498194945848375,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-beanutils,combined,bug,0.13043478260869565,0.11764705882352941,0.07608695652173914,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-codec,jit,adhoc,0.36182902584493043,0.5013477088948788,0.2196078431372549,oexp own minor nddev nsctr add
ant-ivy,commons-codec,static,adhoc,0.3928944618599791,0.5051546391752577,0.46681922196796344,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-codec,pmd,adhoc,0.3333333333333333,0.3974763406940063,0.2845849802371542,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-codec,combined,adhoc,0.46918918918918917,0.4918032786885245,0.2712933753943218,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-codec,jit,bug,0.13733905579399142,0.2206896551724138,0.22119815668202764,add oexp own nsctr nddev minor
ant-ivy,commons-codec,static,bug,0.0588235294117647,0.09756097560975609,0.14400000000000002,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-codec,pmd,bug,0.01735357917570499,0.039735099337748346,0.10396039603960397,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-codec,combined,bug,0.1142857142857143,0.11904761904761905,0.16129032258064516,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-collections,jit,adhoc,0.268714632174616,0.399260628465804,0.12992125984251968,oexp own minor nddev nsctr add
ant-ivy,commons-collections,static,adhoc,0.29552715654952083,0.3892493049119555,0.35890014471780035,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-collections,pmd,adhoc,0.21941555225359088,0.3091334894613583,0.17984496124031008,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-collections,combined,adhoc,0.34252692408720775,0.4105839416058394,0.2490170380078637,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-collections,jit,bug,0.019197207678883072,0.04678362573099415,0.0556745182012848,add oexp own nsctr nddev minor
ant-ivy,commons-collections,static,bug,0.0,0.05000000000000001,0.04672897196261682,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-collections,pmd,bug,0.00598503740648379,0.024432809773123905,0.04663557628247835,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-collections,combined,bug,0.0136986301369863,0.02247191011235955,0.029661016949152543,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-compress,jit,adhoc,0.24232633279483037,0.3739279588336192,0.1348314606741573,oexp own minor nddev nsctr add
ant-ivy,commons-compress,static,adhoc,0.25387453874538746,0.3282532239155921,0.2952879581151832,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-compress,pmd,adhoc,0.2108938547486033,0.3052464228934817,0.26543209876543206,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-compress,combined,adhoc,0.2870229007633588,0.36982248520710065,0.27511591962905724,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-compress,jit,bug,0.07258064516129031,0.16203703703703703,0.1858064516129032,add oexp own nsctr nddev minor
ant-ivy,commons-compress,static,bug,0.05833333333333332,0.05982905982905983,0.21339950372208435,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-compress,pmd,bug,0.09535160905840287,0.1005586592178771,0.16856060606060605,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
ant-ivy,commons-compress,combined,bug,0.06177606177606177,0.06194690265486725,0.15873015873015872,delta_CD delta_RFC delta_NLPA parent_PMD_UC current_PMD_AIO current_PMD_SC
ant-ivy,commons-configuration,jit,adhoc,0.3318998229193018,0.4158415841584159,0.265993265993266,oexp own minor nddev nsctr add
ant-ivy,commons-configuration,static,adhoc,0.31574279379157427,0.4169246646026832,0.34418604651162793,delta_MIMS delta_CC delta_AD delta_CLOC delta_TNLPA delta_NOC
ant-ivy,commons-configuration,pmd,adhoc,0.27695800227014755,0.2513464991023339,0.08933002481389578,current_PMD_VNC delta_PMD_VNC current_PMD_SC current_PMD_ClMMIC current_PMD_SP current_PMD_BGMN
ant-ivy,commons-configuration,combined,adhoc,0.33581824636137736,0.4127310061601643,0.22816399286987524,oexp own delta_PMD_VNC current_PMD_ClMMIC current_PMD_SC parent_PMD_ISB
ant-ivy,commons-configuration,jit,bug,0.09335219236209337,0.1571194762684124,0.16682646212847554,add oexp own nsctr nddev minor
ant-ivy,commons-configuration,static,bug,0.020100502512562814,0.10309278350515463,0.14341085271317827,delta_CD delta_RFC delta_NLPA parent_NOC delta_LDC current_CLOC
ant-ivy,commons-configuration,pmd,bug,0.06105006105006105,0.11925042589437819,0.1547169811320755,parent_PMD_GDL parent_PMD_PST current_PMD_AIO parent_PMD_UC current_PMD_CASR current_PMD_AISD
