project_name,clean_adhoc_row_count_delta,clean_adhoc_row_count_percentage_decrease,clean_its_row_count_delta,clean_its_row_count_percentage_decrease,clean_adhoc_commit_count_delta,clean_adhoc_commit_count_percentage_decrease,clean_its_commit_count_delta,clean_its_commit_count_percentage_decrease,clean_adhoc_file_count_delta,clean_adhoc_file_count_percentage_decrease,clean_its_file_count_delta,clean_its_file_count_percentage_decrease,clean_adhoc_buggy_ratio_delta,clean_adhoc_buggy_ratio_percentage_increase,clean_its_buggy_ratio_delta,clean_its_buggy_ratio_percentage_increase
ant-ivy,7507,64.82,7507,64.82,613,31.98,613,31.98,382,53.35,382,53.35,0.16000000000000003,53.33,0.05,100.0
archiva,18508,77.44,18501,77.41,1665,42.99,1663,42.94,1754,66.44,1754,66.44,0.11000000000000001,91.67,0.09,300.0
calcite,15698,63.68,15645,63.46,406,19.75,406,19.75,1114,51.6,1104,51.13,0.16000000000000003,53.33,0.039999999999999994,80.0
cayenne,32696,77.47,32689,77.46,1686,40.56,1684,40.51,3244,65.84,3243,65.82,0.13,130.0,0.07,233.33
commons-bcel,9198,84.84,9198,84.84,516,53.92,516,53.92,374,68.12,374,68.12,0.12,120.0,0.019999999999999997,200.0
commons-beanutils,3973,83.47,3973,83.47,402,54.25,402,54.25,185,66.31,185,66.31,0.18000000000000002,180.0,0.04,400.0
commons-codec,2777,84.18,2777,84.18,804,73.56,804,73.56,84,62.22,84,62.22,0.19000000000000003,126.67,0.06999999999999999,350.0
commons-collections,16053,87.43,16053,87.43,1328,59.58,1328,59.58,690,61.77,690,61.77,0.1,142.86,0.02,
commons-compress,3538,70.39,3536,70.35,929,52.63,929,52.63,250,57.34,249,57.11,0.06999999999999999,87.5,0.07,175.0
commons-configuration,5068,72.29,5068,72.29,841,41.84,841,41.84,582,77.09,582,77.09,0.07,58.33,0.06,300.0
commons-dbcp,2543,73.52,2542,73.49,590,58.76,589,58.67,67,56.78,67,56.78,0.22,95.65,0.06,200.0
commons-digester,4607,81.05,4607,81.05,847,61.6,847,61.6,455,70.76,455,70.76,0.13,216.67,0.01,
commons-io,4076,82.98,4074,82.94,904,64.07,902,63.93,190,61.89,190,61.89,0.12,120.0,0.05,250.0
commons-jcs,8447,77.46,8443,77.42,411,43.63,411,43.63,541,62.04,541,62.04,0.19,95.0,0.06,200.0
commons-jexl,2938,74.15,2933,74.03,504,57.01,503,56.9,204,54.84,204,54.84,0.19999999999999998,95.24,0.12,200.0
commons-lang,10028,83.83,10028,83.83,2526,63.69,2526,63.69,628,79.19,628,79.19,0.13999999999999999,140.0,0.06,300.0
commons-math,26095,80.49,26095,80.49,2762,54.18,2762,54.18,1477,64.98,1477,64.98,0.13999999999999999,140.0,0.039999999999999994,200.0
commons-net,5539,83.36,5539,83.36,889,61.95,889,61.95,544,73.91,544,73.91,0.13,216.67,0.08,400.0
commons-scxml,2060,71.08,2026,69.91,315,50.81,311,50.16,167,63.5,166,63.12,0.17000000000000004,43.59,0.06,200.0
commons-validator,1797,76.27,1797,76.27,392,54.14,392,54.14,104,62.65,104,62.65,0.25,192.31,0.06,300.0
commons-vfs,7460,79.7,7449,79.58,748,54.28,748,54.28,252,60.58,252,60.58,0.24000000000000002,160.0,0.030000000000000002,150.0
deltaspike,5704,76.42,5702,76.39,649,42.73,647,42.59,1682,81.06,1682,81.06,0.07,77.78,0.07999999999999999,200.0
eagle,6469,71.97,6469,71.97,170,27.91,170,27.91,1437,64.09,1437,64.09,0.18,54.55,0.06,200.0
giraph,6648,68.11,6648,68.11,212,24.62,212,24.62,1137,64.38,1137,64.38,0.1,66.67,0.04,100.0
gora,2295,70.62,2294,70.58,229,40.32,228,40.14,354,65.92,354,65.92,0.07,100.0,0.05,166.67
jspwiki,14511,71.72,14510,71.71,2601,51.14,2601,51.14,1468,60.51,1468,60.51,0.13999999999999999,93.33,0.02,100.0
knox,5811,75.79,5812,75.81,297,35.32,298,35.43,910,67.91,909,67.84,0.06,60.0,0.09999999999999999,200.0
kylin,19187,61.84,19144,61.7,1189,27.26,1182,27.1,1676,53.96,1676,53.96,0.06000000000000001,54.55,0.030000000000000006,75.0
lens,7607,67.88,7607,67.88,409,27.43,409,27.43,625,61.7,625,61.7,0.10999999999999999,45.83,0.09,150.0
mahout,18344,68.67,18344,68.67,831,34.73,831,34.73,1253,51.69,1253,51.69,0.14,77.78,0.04000000000000001,133.33
nutch,4405,56.44,4379,56.11,430,27.99,423,27.54,678,50.79,675,50.56,0.1,47.62,0.06,100.0
opennlp,8838,76.92,8838,76.92,536,41.61,536,41.61,2246,79.56,2246,79.56,0.18,163.64,0.05,250.0
parquet-mr,5327,66.45,5321,66.38,383,32.35,383,32.35,451,56.52,450,56.39,0.21000000000000008,44.68,0.05,166.67
systemml,22369,60.85,22200,60.39,667,18.3,649,17.81,1948,63.39,1943,63.23,0.2,83.33,0.02,100.0
tika,5295,60.19,5300,60.25,942,35.68,945,35.8,590,52.54,590,52.54,0.05000000000000002,27.78,0.07,116.67
