project_name,baseline_row_count,baseline_commit_count,baseline_file_count,baseline_adhoc_buggy_ratio,baseline_its_buggy_ratio,clean_adhoc_row_count,clean_adhoc_commit_count,clean_adhoc_file_count,clean_adhoc_buggy_ratio,clean_its_row_count,clean_its_commit_count,clean_its_file_count,clean_its_buggy_ratio
ant-ivy,11581,1917,716,0.3,0.05,4074,1304,334,0.46,4074,1304,334,0.1
archiva,23899,3873,2640,0.12,0.03,5391,2208,886,0.23,5398,2210,886,0.12
calcite,24653,2056,2159,0.3,0.05,8955,1650,1045,0.46,9008,1650,1055,0.09
cayenne,42203,4157,4927,0.1,0.03,9507,2471,1683,0.23,9514,2473,1684,0.1
commons-bcel,10842,957,549,0.1,0.01,1644,441,175,0.22,1644,441,175,0.03
commons-beanutils,4760,741,279,0.1,0.01,787,339,94,0.28,787,339,94,0.05
commons-codec,3299,1093,135,0.15,0.02,522,289,51,0.34,522,289,51,0.09
commons-collections,18362,2229,1117,0.07,0.0,2309,901,427,0.17,2309,901,427,0.02
commons-compress,5026,1765,436,0.08,0.04,1488,836,186,0.15,1490,836,187,0.11
commons-configuration,7011,2010,755,0.12,0.02,1943,1169,173,0.19,1943,1169,173,0.08
commons-dbcp,3459,1004,118,0.23,0.03,916,414,51,0.45,917,415,51,0.09
commons-digester,5684,1375,643,0.06,0.0,1077,528,188,0.19,1077,528,188,0.01
commons-io,4912,1411,307,0.1,0.02,836,507,117,0.22,838,509,117,0.07
commons-jcs,10905,942,872,0.2,0.03,2458,531,331,0.39,2462,531,331,0.09
commons-jexl,3962,884,372,0.21,0.06,1024,380,168,0.41,1029,381,168,0.18
commons-lang,11962,3966,793,0.1,0.02,1934,1440,165,0.24,1934,1440,165,0.08
commons-math,32421,5098,2273,0.1,0.02,6326,2336,796,0.24,6326,2336,796,0.06
commons-net,6645,1435,736,0.06,0.02,1106,546,192,0.19,1106,546,192,0.1
commons-scxml,2898,620,263,0.39,0.03,838,305,96,0.56,872,309,97,0.09
commons-validator,2356,724,166,0.13,0.02,559,332,62,0.38,559,332,62,0.08
commons-vfs,9360,1378,416,0.15,0.02,1900,630,164,0.39,1911,630,164,0.05
deltaspike,7464,1519,2075,0.09,0.04,1760,870,393,0.16,1762,872,393,0.12
eagle,8989,609,2242,0.33,0.03,2520,439,805,0.51,2520,439,805,0.09
giraph,9760,861,1766,0.15,0.04,3112,649,629,0.25,3112,649,629,0.08
gora,3250,568,537,0.07,0.03,955,339,183,0.14,956,340,183,0.08
jspwiki,20233,5086,2426,0.15,0.02,5722,2485,958,0.29,5723,2485,958,0.04
knox,7667,841,1340,0.1,0.05,1856,544,430,0.16,1855,543,431,0.15
kylin,31027,4362,3106,0.11,0.04,11840,3173,1430,0.17,11883,3180,1430,0.07
lens,11207,1491,1013,0.24,0.06,3600,1082,388,0.35,3600,1082,388,0.15
mahout,26713,2393,2424,0.18,0.03,8369,1562,1171,0.32,8369,1562,1171,0.07
nutch,7805,1536,1335,0.21,0.06,3400,1106,657,0.31,3426,1113,660,0.12
opennlp,11490,1288,2823,0.11,0.02,2652,752,577,0.29,2652,752,577,0.07
parquet-mr,8016,1184,798,0.47,0.03,2689,801,347,0.68,2695,801,348,0.08
systemml,36761,3645,3073,0.24,0.02,14392,2978,1125,0.44,14561,2996,1130,0.04
tika,8797,2640,1123,0.18,0.06,3502,1698,533,0.23,3497,1695,533,0.13
